기간	연령별	미혼모	미혼부
2015	계	4,510	1,613
2015	20세미만	45	10
2015	20~24세	268	45
2015	25~29세	399	61
2015	30~34세	646	187
2015	35~39세	887	315
2015	40~44세	926	361
2015	45~49세	730	313
2015	50세이상	609	321
2016	계	4,344	1,374
2016	20세미만	56	X
2016	20~24세	280	45
2016	25~29세	406	59
2016	30~34세	643	146
2016	35~39세	866	266
2016	40~44세	835	287
2016	45~49세	689	291
2016	50세이상	569	277
2017	계	4,510	1,613
2017	20세미만	45	10
2017	20~24세	268	45
2017	25~29세	399	61
2017	30~34세	646	187
2017	35~39세	887	315
2017	40~44세	926	361
2017	45~49세	730	313
2017	50세이상	609	321
